date,likes,user,location,text
2022-06-18 14:58:06+00:00,0,benzodiazevicky,ela/dela,@discodollf ja vi uma cosmetologista dizendo q a boticario eh mt cuidadosa tbm com dermocosmeticos
2022-06-18 14:51:36+00:00,8094,Antonio09636317,"Minas Gerais, Brasil","3.Cancelei meus investimentos no XP. Encerrei cc de 39 anos no Itaú.Não bebo nada da Ambev/Brahma-Skol-Antarctica, Eisenbahn.Não compro no Magalu, na Hering,nas Americanas, no McDonalds,  no Boticario e na Natura e na Bauducco, não assisto Grobo nem CNN, Band. Tamos conversados!"
2022-06-18 14:49:39+00:00,1,camslvanderlei,"Pernambuco, Brasil",@unsurescorpion Boticário rainha nacional bate todos os perfumes gringos
2022-06-18 14:45:23+00:00,0,diasrita13,,"Dei de maluca na O Boticário, comprei 3 perfumes e 2 hidratantes. 😂😳"
2022-06-18 14:35:27+00:00,1,phobiaoflight,"Belo Horizonte, Brazil","@manotelli Eu cheguei lá a primeira vez e tinha seda e toalha cheia de pelo de gato. Tinha desodorante nivea men, perfume boticário e um monte de blusa, meia e cueca furada. Hoje, as coisas furadas já não existem e o resto continua o mesmo pq é dele."
2022-06-18 14:33:26+00:00,1,raffavelaa,"São Sebastião, Brasília","@lanaphani eu uso a supermatte da quem disse Berenice ou a matte efect da Boticário miga, amo. São levinhas!"
2022-06-18 14:25:32+00:00,2,exoxo_bls,exoplanet,Roubou o template do boticário
2022-06-18 14:04:50+00:00,0,AGazetadoAcre,Rio Branco-Acre,Rebecca se une ao Boticário para lançar Nativa SPA Morango Ruby em campanha criada pela AlmapBBDO e dirigida por Giovanni Bianco https://t.co/hqyWj9hkXa
2022-06-18 14:00:59+00:00,2,maissonoliv,"Guaíra, Brasil","O desgraçado do moço que foi arrumar meu guarda roupas  quebrou meu perfume que tava praticamente cheio, dia ótimo.

Aí fui na boticario comprar outro e não tinha mais 😭😭😭"
2022-06-18 13:58:31+00:00,1,earhayssa,jb follow 15/11,"Esse povo muito kozeiro kkkkkkkkkk geral colocando perfurme importado, ninguém coloca Avon, natura e boticário"
2022-06-18 13:53:01+00:00,1,dudajacquesp,"Florianópolis, Brasil",alguém me dá um kit da linha nova da o boticario de morango 😭
2022-06-18 13:32:17+00:00,0,lucasthefrog,ele/dele/o,@marciotmello boticário vida
2022-06-18 13:21:28+00:00,0,evelyncersosimo,"Rio de Janeiro, Brasil","Como se fosse tão simples vender Boticário, só o kit que te mandam comprar para quem não tem dinheiro é inviável. 

#EDecasa"
2022-06-18 13:19:18+00:00,3,vidaemsampa15,"São Paulo, Brasil",O negocio da vida é vender Boticario. Af Globo #edecasa
2022-06-18 13:01:08+00:00,10,elafaziapopopo,,"Eu amo muito estes aqui, sabe? 

O professor, a médica veterinária, a dona do Boticário, sócia da chilibeans e a médica 

Muito obrigada por terem ido e consumido, eu sempre volto a ser a Flavia de 2015 quando tô com vocês e essa Flavia era muito feliz

Amo vocês https://t.co/SycjSiSs3P"
2022-06-18 12:52:31+00:00,0,isabeleladeirab,jf/mg,"@100tempoirmaos eu tava usando a linha tônico de crescimento da boticário! e eu ameiiii, p mim deu mt certo. agora comprei aquela linha bomba da salon line que falam q é ótima tb… mas, vou testar. e to querendo comprar tb a linha da eudora, que falaram q é melhor ainda"
2022-06-18 12:51:02+00:00,0,PromobitOficial,Brasil,"#promoção #oferta  [Parcelado] Desodorante Colônia L'eau de Lily 75ml - O Boticário - R$ 138,90  #beleza #saude https://t.co/9Iev88RrpQ"
2022-06-18 12:41:54+00:00,52,NairaJlia1,"Deuselbach, Deutschland","agora todo mundo usa perfume importado no insta, o cheiro de ninguém foi Boticário ou um natura kkkkkkkk 
ataaaaaa, esse povo é uma piada"
2022-06-18 12:10:24+00:00,10,Antonio09636317,"Minas Gerais, Brasil","2.Cancelei meus investimentos no XP. Encerrei cc de 39 anos no Itaú.Não bebo nada da Ambev/Brahma-Skol-Antarctica, Eisenbahn.Não compro no Magalu, na Hering,nas Americanas, no McDonalds,  no Boticario e na Natura e na Bauducco, não assisto Grobo nem CNN, Band. Tamos conversados!"
2022-06-18 12:08:51+00:00,1030,Antonio09636317,"Minas Gerais, Brasil","Cancelei meus investimentos no XP. Encerrei cc de 39 anos no Itaú.Não bebo nada da Ambev/Brahma-Skol-Antarctica, Eisenbahn.Não compro no Magalu, na Hering,nas Americanas, no McDonalds,  no Boticario e na Natura e na Bauducco, não assisto Grobo nem CNN, Band. Tamos conversados!"
2022-06-18 11:34:42+00:00,0,VeraMac52348642,,"@DalgisaFonseca Natura, Boticário, Americanas, Itaú, Magazine Luísa etc, etc há  muitos anos eu boicoto."
2022-06-18 11:34:19+00:00,0,_EuuMaay,Cauê Lucca💙 Lorenzo💙,Tirei um perfume da boticário e outro creme da Lily pq o meu já tá acabando 🥰
2022-06-18 11:17:36+00:00,1,AlberdanFranco,Localiza ,"Esses cara tem uma mania de deixar mulher cheirosa pra gente nunca vi isso 🤣🤣🤣🤣
Enfim o bobinho da Boticário 🤣🤣🤣🤣"
2022-06-18 11:06:38+00:00,0,diasrita13,,Vou comprar minhas coisas na O Boticário 🥰🥰🥰
2022-06-18 09:23:20+00:00,1,melany_tifany,"Itaboraí, Brasil","Cara, eu sou completamente apaixonada nos hidratantes da o Boticário véi, o bgl fica o cheiro no corpo o dia todinho"
2022-06-18 07:04:54+00:00,0,criandonetbr,"Rio de Janeiro, Brazil",Grupo Boticário lança Batom Inteligente https://t.co/2wufKumQKJ
2022-06-18 06:12:14+00:00,2,joyc505,stars,"aconteceu… o boticário, parou de vender o meu perfume fav 😭"
2022-06-18 04:34:48+00:00,0,matoszjulia,"Contagem, Brasil","Uma pessoa me enviou msg por engano no wpp business perguntando se vendo chá, meu recado é Revendedora Avon e Boticário... mas nunca se sabe quando a pessoa revende produtos de beleza e cházinho!"
